learner,method,hp,wlogloss,label
LGB,PS-S3,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.05}",0.1121066641569781,
LGB,PS-S3,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.1}",0.12864957501253732,
LGB,PS-S3,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.05}",0.12779354368174767,
LGB,PS-S3,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.1}",0.15687288305273872,
LGB,PS-S3,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.05}",0.1285236653148544,
LGB,PS-S3,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.1}",0.15677924545702968,
LGB,PS-S4,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.05}",0.10482249000741797,
LGB,PS-S4,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.1}",0.11094329986029064,
LGB,PS-S4,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.05}",0.10415650066846054,
LGB,PS-S4,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.1}",0.11093424655628745,
LGB,PS-S4,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.05}",0.11112385361563337,
LGB,PS-S4,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.1}",0.12441658131985733,
LGB,PS-S4,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.05}",0.11063487083539658,
LGB,PS-S4,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.1}",0.12536290504326192,
LGB,PS-S4,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.05}",0.12418881449155743,
LGB,PS-S4,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.1}",0.1473604841344313,
LGB,PS-S4,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.05}",0.12436773460987385,
LGB,PS-S4,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.1}",0.15270353766261965,
LGB,PS-S5,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.05}",0.10785328404121544,
LGB,PS-S5,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.1}",0.112260110217279,
LGB,PS-S5,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.05}",0.10827439196944529,
LGB,PS-S5,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.1}",0.1131199884077285,
LGB,PS-S5,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.05}",0.11332278091152514,
LGB,PS-S5,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.1}",0.12309567160988041,
LGB,PS-S5,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.05}",0.11383733270777856,
LGB,PS-S5,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.1}",0.12396888922945794,
LGB,PS-S5,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.05}",0.12284324198566585,
LGB,PS-S5,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.1}",0.14027126071387147,
LGB,PS-S5,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.05}",0.12332457451947948,
LGB,PS-S5,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.1}",0.14444203903787983,
LGB,PS-S6,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.05}",0.10400699171834099,
LGB,PS-S6,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.1}",0.10997944685856349,
LGB,PS-S6,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.05}",0.10437796659226846,
LGB,PS-S6,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.1}",0.11118307149043564,
LGB,PS-S6,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.05}",0.11083325388376979,
LGB,PS-S6,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.1}",0.12546685331658816,
LGB,PS-S6,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.05}",0.11165397481200377,
LGB,PS-S6,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.1}",0.12586515351651992,
LGB,PS-S6,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.05}",0.12453369269245433,
LGB,PS-S6,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.1}",0.15016784631856114,
LGB,PS-S6,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.05}",0.12486310008409093,
LGB,PS-S6,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.1}",0.15241049804924997,
LR,BASE,0.03,0.4930611109121588,5.7
LR,BASE,0.1,0.48746188334664425,5.7
LR,BASE,0.3,0.486347314947197,5.7
LR,BASE,1.0,0.48632101800440347,5.7
LR,AUG,0.03,0.4973603556038297,5.7
LR,AUG,0.1,0.49479567837358496,5.7
LR,AUG,0.3,0.4943007590303167,5.7
LR,AUG,1.0,0.49468229940917335,5.7
LR,PS-S0,0.03,0.4930611109121522,5.7
LR,PS-S0,0.1,0.48746188334664825,5.7
LR,PS-S0,0.3,0.4863473149471891,5.7
LR,PS-S0,1.0,0.48632101800336736,5.7
LR,PS-S1,0.03,0.5135988741842621,5.7
LR,PS-S1,0.1,0.508533409271259,5.7
LR,PS-S1,0.3,0.506979083009725,5.7
LR,PS-S1,1.0,0.5064967201801147,5.7
LR,PS-S2,0.03,0.4932932657324726,5.7
LR,PS-S2,0.1,0.48738734708477377,5.7
LR,PS-S2,0.3,0.4860227012661505,5.7
LR,PS-S2,1.0,0.4860766127798189,5.7
LR,PS-S3,0.03,0.4928912621462131,5.7
LR,PS-S3,0.1,0.48720103868496284,5.7
LR,PS-S3,0.3,0.48607276710118075,5.7
LR,PS-S3,1.0,0.4861275123360925,5.7
LR,PS-S4,0.03,0.49470715335600124,5.7
LR,PS-S4,0.1,0.48909555660079906,5.7
LR,PS-S4,0.3,0.487909926980181,5.7
LR,PS-S4,1.0,0.48769542165421004,5.7
LR,PS-S5,0.03,0.5146899725444292,5.7
LR,PS-S5,0.1,0.5097093288308019,5.7
LR,PS-S5,0.3,0.5083208255482452,5.7
LR,PS-S5,1.0,0.5080060596548464,5.7
LR,PS-S6,0.03,0.49456425700662965,5.7
LR,PS-S6,0.1,0.4889558328542488,5.7
LR,PS-S6,0.3,0.48771316791854563,5.7
LR,PS-S6,1.0,0.48753173575701086,5.7
